Timestamp,Symbol,Headline,Sentiment,URL
2025-07-16T02:06:11Z,AAPL,Apple is spending $500 million in government-backed rare minerals program,0.00,https://siliconangle.com/2025/07/15/apple-spending-500-million-government-backed-rare-minerals-program/
2025-07-16T01:09:47Z,AAPL,Hot deal: Apple MacBook Air M2 drops to a mere $699!,-0.91,https://www.androidauthority.com/apple-macbook-air-m2-deal-15-3577867/
2025-07-15T23:51:30Z,AAPL,"EU Drops Digital Tax, Clearing the Way for Apple and Other US Tech Giants",-0.71,https://www.macobserver.com/news/eu-drops-digital-tax-clearing-the-way-for-apple-and-other-us-tech-giants/
2025-07-15T21:19:36Z,AAPL,America’s only rare earth producer gets a boost from Apple and Pentagon agreements,0.77,https://www.denverpost.com/2025/07/15/us-rare-earths/
2025-07-15T21:19:36Z,AAPL,America’s only rare earth producer gets a boost from Apple and Pentagon agreements,0.77,https://www.bostonherald.com/2025/07/15/us-rare-earths/
2025-07-16T01:01:22Z,GOOGL,Elon Musk's Starlink Faces A New Alphabet Rival: This Google-Backed Startup Wants Federal Billions To Beam Internet Through Air,0.00,https://finance.yahoo.com/news/elon-musks-starlink-faces-alphabet-010122430.html
2025-07-15T21:15:00Z,AMZN,"The Amazon Fire TV Omni QLED is great for gaming, but works just as well with Alexa",0.00,https://www.zdnet.com/home-and-office/home-entertainment/the-amazon-fire-tv-omni-qled-is-great-for-gaming-but-works-just-as-well-with-alexa/
2025-07-15T20:30:00Z,AMZN,Amazon Will Let You Trade in Your Old Switch for Just Enough Cash to Buy Donkey Kong Bananza,0.56,https://www.ign.com/articles/amazon-will-let-you-trade-in-your-old-switch-for-just-enough-cash-to-buy-donkey-kong-bananza
2025-07-16T03:04:19Z,NVDA,$4 Trillion: Nvidia's Record Valuation In Context,1.00,https://biztoc.com/x/7b268ac4ed6c2b79
2025-07-15T20:06:51Z,NFLX,KPop Demon Hunters Set to Break Netflix Animation Records + Katie Taylor vs. Amanda Serrano Viewership Deep Dive,0.56,https://www.whats-on-netflix.com/news/top-10-reports/kpop-demon-hunters-set-to-break-netflix-animation-records-katie-taylor-vs-amanda-serrano-viewership-revealed/
2025-07-15T18:08:23Z,NFLX,"Netflix, Inc. (NFLX): The Estimates Might Have Gotten Too Low, Says Jim Cramer",0.00,https://finance.yahoo.com/news/netflix-inc-nflx-estimates-might-180823766.html
2025-07-15T17:11:15Z,NFLX,"Roblox launches IP licensing platform, partners with Netflix, Lionsgate",1.00,https://www.channelnewsasia.com/business/roblox-launches-ip-licensing-platform-partners-netflix-lionsgate-5240031
2025-07-15T16:30:00Z,NFLX,"Stream It Or Skip It: ‘Trainwreck: Balloon Boy’ on Netflix, a Fascinating Documentary That Shines Light on a Hoax — OR DOES IT?!?",0.00,https://decider.com/2025/07/15/trainwreck-balloon-boy-netflix-movie-review/
2025-07-15T16:00:56Z,NFLX,Netflix & Lionsgate Join Initiative To Bring More Blockbuster Film & TV Properties To Roblox,0.00,http://deadline.com/2025/07/roblox-netflix-lionsgate-sega-collaboration-squid-game-1236457596/
2025-07-16T02:42:59Z,AMD,"Mira Murati's Thinking Machines Lab raised a $2B seed led by a16z at a $12B valuation; Nvidia, Accel, ServiceNow, Cisco, AMD, and Jane Street also invested",0.00,https://biztoc.com/x/fe81a24dcfad9824
2025-07-16T00:56:09Z,AMD,AMD cleared to join Nvidia and resume selling some underpowered AI chips to China,-0.71,https://www.theregister.com/2025/07/16/amd_china_chips/
2025-07-15T22:59:48Z,AMD,"Is Big Cap 20 Stock AMD A Worthy Rival To Nvidia? Check Out Best Stocks To Buy On IBD 50, Stock Spotlight, Other Lists",0.42,https://biztoc.com/x/e0c8eb3570b1c5a3
2025-07-15T19:00:31Z,AMD,"Nvidia, AMD to resume AI chip exports to China",0.00,https://siliconangle.com/2025/07/15/nvidia-amd-resume-ai-chip-exports-china/
2025-07-15T18:52:40Z,AMD,Nvidia and AMD Lead Chip Rally After H20 Chips Poised for China Comeback,0.00,https://finance.yahoo.com/news/nvidia-amd-lead-chip-rally-185240493.html
2025-07-15T18:00:12Z,AMD,"Top Stock Movers Now: Nvidia, AMD, Newmont, BlackRock, and More",0.00,https://biztoc.com/x/cf62e0ab1e43ac07
2025-07-15T20:34:28Z,INTC,Intel Offloads $1 Billion Mobileye Shares Amid Valuation Wobbles,0.00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fb9c873a-9f2d-4dba-9f69-b849a23c5663
2025-07-15T19:24:39Z,INTC,"College basketball recruiting: Coaches weigh in on NCAA Tournament size, intel on top prospects and more",0.00,https://www.cbssports.com/college-basketball/news/college-basketball-recruiting-coaches-weigh-in-on-ncaa-tournament-size-intel-on-top-prospects-and-more/
2025-07-15T18:53:34Z,INTC,Beelink GTi15 Ultra is an Intel Arrow Lake mini PC with support for an (external) desktop graphics card,0.00,https://liliputing.com/beelink-gti15-ultra-is-an-intel-arrow-lake-mini-pc-with-support-for-an-external-desktop-graphics-card/
2025-07-15T15:05:04Z,INTC,Intel Hardly Manages To Surpass 100+ Unit Sales Of Its CPUs While AMD Easily Secures 12 Times More Sales At This German Retailer,0.00,https://wccftech.com/inte-amd-cpu-sales-mindfactory-week-28/
2025-07-15T19:30:54Z,ORCL,Oracle Critical Patch Update Advisory - July 2025,0.00,https://www.oracle.com/security-alerts/cpujul2025.html
2025-07-15T12:04:35Z,ORCL,"Oracle to Spend $3B in Germany, Netherlands on Cloud, AI Infrastructure",0.00,https://www.investopedia.com/oracle-to-spend-3b-in-germany-netherlands-on-cloud-ai-infrastructure-11772213
2025-07-15T07:01:04Z,ORCL,"Oracle to invest $3 billion in AI, cloud expansion in Germany, Netherlands",0.83,https://finance.yahoo.com/news/oracle-invest-3-billion-ai-070104921.html
2025-07-15T07:01:04Z,ORCL,"Oracle to invest $3 billion in AI, cloud expansion in Germany, Netherlands",0.83,https://www.channelnewsasia.com/business/oracle-invest-3-billion-ai-cloud-expansion-germany-netherlands-5239006
2025-07-16T02:00:00Z,CRM,Healthcare CRM Market Demand Rises in 2025 with USD 20.78 Billion Valuation and North America Holding 59% Share,0.56,https://www.globenewswire.com/news-release/2025/07/16/3116107/0/en/Healthcare-CRM-Market-Demand-Rises-in-2025-with-USD-20-78-Billion-Valuation-and-North-America-Holding-59-Share.html
